127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/bg3.jpg HTTP/1.1" 200 3275749
127.0.0.1 - - [01/Nov/2013:23:01:49 +0200] "GET / HTTP/1.1" 200 12022
127.0.0.1 - - [01/Nov/2013:23:01:49 +0200] "GET /img/style.css HTTP/1.1" 200 6732
127.0.0.1 - - [01/Nov/2013:23:01:49 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 200 1552
127.0.0.1 - - [01/Nov/2013:23:01:49 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 200 2252
127.0.0.1 - - [01/Nov/2013:23:01:49 +0200] "GET /js/jquery.js HTTP/1.1" 200 57254
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/bg1.jpg HTTP/1.1" 200 1062598
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/bg2.gif HTTP/1.1" 200 843922
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/bg3.jpg HTTP/1.1" 200 3275749
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:01:52 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:01:54 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:01:54 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:02:06 +0200] "GET / HTTP/1.1" 200 12022
127.0.0.1 - - [01/Nov/2013:23:02:06 +0200] "GET /img/style.css HTTP/1.1" 200 6732
127.0.0.1 - - [01/Nov/2013:23:02:06 +0200] "GET /js/jquery.js HTTP/1.1" 200 57254
127.0.0.1 - - [01/Nov/2013:23:02:06 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 200 1552
127.0.0.1 - - [01/Nov/2013:23:02:06 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 200 2252
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/bg1.jpg HTTP/1.1" 200 1062598
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/bg2.gif HTTP/1.1" 200 843922
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/bg3.jpg HTTP/1.1" 200 3275749
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:02:09 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:02:10 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:02:10 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:03:43 +0200] "GET / HTTP/1.1" 200 12043
127.0.0.1 - - [01/Nov/2013:23:03:43 +0200] "GET /img/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:43 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:43 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:03:43 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
